sort,id,parent,scheme,context,domain,property,skos_exactMatch,rdfs_comment_en,skos_prefLabel_en,skos_altLabel_en,skos_hiddenLabel_en,skos_prefLabel_de,skos_altLabel_de,skos_prefLabel_fr,skos_altLabel_fr,skos_prefLabel_it,skos_altLabel_it,skos_definition_en
426,http://vocab.performing-arts.ch/muvhj,http://vocab.performing-arts.ch/muiuk,False,Activity,,,rdaa:P50224,equivalent in SPA Data Model: is lyricist of,lyrics,,,Liedtexte,,paroles,,testo,parole,
427,http://vocab.performing-arts.ch/mupot,http://vocab.performing-arts.ch/muiuk,False,Activity,,,rdaa:P50223,equivalent in SPA Data Model: is screenwriter of,screenplay,,,Drehbuch,,scénario,,sceneggiatura,,
428,http://vocab.performing-arts.ch/mufbo,http://vocab.performing-arts.ch/muyql,False,Activity,,,rdaa:P50187; eclap:composer,equivalent in SPA Data Model: is composer of,composition,,,Komposition,,composition,,composizione,,
429,http://vocab.performing-arts.ch/mucbq,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50205,equivalent in SPA Data Model: is director of,direction,,,Regie,,direction,,regia,,
430,http://vocab.performing-arts.ch/mutnt,http://vocab.performing-arts.ch/mucbq,False,Activity,,,rdaa:P50139; eclap:director,equivalent in SPA Data Model: is stage director of,stage direction,,,Bühnenregie,,mise en scène,direction scénique,direzione di scena,,
431,http://vocab.performing-arts.ch/mugkn,http://vocab.performing-arts.ch/mutnt,False,Activity,,,eclap:assistantDirector,equivalent in SPA Data Model: is assistant stage director of,assistant stage direction,,,Bühnenregieassistenz,,assistant mise en scène,,assistente di scena,,
432,http://vocab.performing-arts.ch/muctj,http://vocab.performing-arts.ch/mucbq,False,Activity,,,rdaa:P50048,,film direction,,,Filmregie,,réalisation,,regia cinematografica,,
433,http://vocab.performing-arts.ch/mudvs,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50207,equivalent in SPA Data Model: is director of photography of,direction of photography,,,Kamera,,direction de la photographie,,direzione della fotografia,,
434,http://vocab.performing-arts.ch/mubyr,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50190,equivalent in SPA Data Model: is photographer of,photography,,,Fotografie,,photographie,,fotografia,,
435,http://vocab.performing-arts.ch/mudcw,http://vocab.performing-arts.ch/mu,False,Activity,,,eclap:adaptor,equivalent in SPA Data Model: is adaptor of,adaption,,,Adaption,,adaptation,,adattamento,,
436,http://vocab.performing-arts.ch/mujpp,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50156,equivalent in SPA Data Model: is editor of,editing,,,Bearbeitung,,édition,,edizione,,
437,http://vocab.performing-arts.ch/muwyo,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50145; eclap:translator,equivalent in SPA Data Model: is translator of,translation,,,Übersetzung,,traduction,,traduzione,,
438,http://vocab.performing-arts.ch/musim,http://vocab.performing-arts.ch/mu,False,Activity,,,eclap:dramaturge,equivalent in SPA Data Model: is dramaturge of,dramaturgy,,,Dramaturgie,,dramaturgie,,drammaturgia,,
439,http://vocab.performing-arts.ch/mupvk,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50138,equivalent in SPA Data Model: is writer of added text of,added text,,,Zusätzlicher Text,,texte ajouté,,testo aggiunto,,
440,http://vocab.performing-arts.ch/muzua,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50216,equivalent in SPA Data Model: is writer of added lyrics of,added lyrics,,,Zusätzliche Liedtexte,,paroles ajoutées,,testo aggiunto,parole aggiunte,
441,http://vocab.performing-arts.ch/muqtj,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50137,equivalent in SPA Data Model: is arranger of music of,musical arrangement,,,Musikalisches Arrangement,,arrangement musical,,arrangiamento musicale,,
442,http://vocab.performing-arts.ch/muclm,http://vocab.performing-arts.ch/mu,False,Activity,,,,equivalent in SPA Data Model: is technical director of,technical direction,,,Technische Regie,,direction technique,,direzione tecnica,,
443,http://vocab.performing-arts.ch/mubbv,http://vocab.performing-arts.ch/muyql,False,Activity,,,eclap:choreographer,equivalent in SPA Data Model: is choreographer of,choreography,,,Choreografie,Choreographie,chorégraphie,,coreografia,,
444,http://vocab.performing-arts.ch/muwgo,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50201; eclap:producer,equivalent in SPA Data Model: is producer of,production,,,Produktion,,production,,produzione,,
445,http://vocab.performing-arts.ch/mugja,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50185,equivalent in SPA Data Model: is designer of,design,,,Design,,conception,,design,,
446,http://vocab.performing-arts.ch/mulga,http://vocab.performing-arts.ch/mugja,False,Activity,,,,equivalent in SPA Data Model: is art director of,art direction,,,Ausstattung,,direction artistique,,direzione artistica,,
447,http://vocab.performing-arts.ch/muqjb,http://vocab.performing-arts.ch/mulga,False,Activity,,,eclap:scenographer,equivalent in SPA Data Model: is set designer of,scenographery,set design,,Bühnenbild,,scénographie,,scenografia,,
448,http://vocab.performing-arts.ch/muecs,http://vocab.performing-arts.ch/mulga,False,Activity,,,rdaa:P50144; eclap:costumeDesigner,equivalent in SPA Data Model: is costume designer of,costume design,,,Kostümentwurf,,conception de costume,,design costumi,,
449,http://vocab.performing-arts.ch/muhas,http://vocab.performing-arts.ch/mulga,False,Activity,,,,,mask design,,,Maskenentwurf,,dessin du masque,,design maschera,,
450,http://vocab.performing-arts.ch/mufnt,http://vocab.performing-arts.ch/mulga,False,Activity,,,wd:Q541892,,makeup,,,Make-up,,maquillage,,trucco,,
451,http://vocab.performing-arts.ch/mumpj,http://vocab.performing-arts.ch/mulga,False,Activity,,,,,puppet design,,,Puppenbau,,conception de marionnette,,design marionette,,
452,http://vocab.performing-arts.ch/murni,http://vocab.performing-arts.ch/mulga,False,Activity,,,rdaa:P50256; eclap:lightDesigner,equivalent in SPA Data Model: is lighting designer of,lighting design,,,Lichtgestaltung,,conception lumière,,disegno luci,progettazione luci,
453,http://vocab.performing-arts.ch/mufwk,http://vocab.performing-arts.ch/mulga,False,Activity,,,,equivalent in SPA Data Model: is projection designer of,projection design,,,Projektionsgestaltung,,conception projection,,realizzazione proiezioni,,
454,http://vocab.performing-arts.ch/muqju,http://vocab.performing-arts.ch/mulga,False,Activity,,,,equivalent in SPA Data Model: is video designer of,video design,,,Videodesign,,conception vidéo,,video,,
455,http://vocab.performing-arts.ch/muxzh,http://vocab.performing-arts.ch/mulga,False,Activity,,,rdaa:P50255; eclap:soundDesigner,equivalent in SPA Data Model: is sound designer of,sound design,,,Tongestaltung,,conception sonore,,suono,,
456,http://vocab.performing-arts.ch/mulnl,http://vocab.performing-arts.ch/mugja,False,Activity,,,rdaa:P50198,equivalent in SPA Data Model: is production designer of,production design,,,Produktionsdesign,,conception de production,,concetto di produzione,,"""designing the overall visual appearance of a moving image production"" (RDAA)"
457,http://vocab.performing-arts.ch/muqfg,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50070,equivalent in SPA Data Model: is conductor of,conductor,,,Dirigent,,chef d'orchestre,,direttore d'orchestra,,
458,http://vocab.performing-arts.ch/mufcc,http://vocab.performing-arts.ch/muqfg,False,Activity,,,rdaa:P50268,equivalent in SPA Data Model: is choral conductor of,choral conductor,,,Chorleitung,,chef de choeur ,,direttore del coro,,
459,http://vocab.performing-arts.ch/muawx,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50147,equivalent in SPA Data Model: is performer of,performance,,,Performance,,performance,,perfomance,,
460,http://vocab.performing-arts.ch/munib,http://vocab.performing-arts.ch/muawx,False,Activity,,,rdaa:P50071; eclap:actor,equivalent in SPA Data Model: is actor of,acting,,,Schauspiel,,jeu d'acteur,,recitazione,,
461,http://vocab.performing-arts.ch/mulcp,http://vocab.performing-arts.ch/muawx,False,Activity,,,rdaa:P50073; eclap:dancer,equivalent in SPA Data Model: is dancer of,dance,,,Tanz,,danse,,danza,,
462,http://vocab.performing-arts.ch/muiim,http://vocab.performing-arts.ch/muawx,False,Activity,,,eclap:musician,equivalent in SPA Data Model: is music performer of,music performance,,,Musikalische Aufführung,,performance musicale,,perfomance musicale,,
463,http://vocab.performing-arts.ch/mupfz,http://vocab.performing-arts.ch/muawx,False,Activity,,,rdaa:P50075,equivalent in SPA Data Model: is host of,host,,,Gastgeber,,invité,,ospite,,
464,http://vocab.performing-arts.ch/mupah,http://vocab.performing-arts.ch/muiim,False,Activity,,,rdaa:P50079,equivalent in SPA Data Model: is instrumentalist of,instrumental perfomance,,,Instrumentale Aufführung,,performance instrumentale,,performace strumentale,,
465,http://vocab.performing-arts.ch/muygg,http://vocab.performing-arts.ch/muiim,False,Activity,,,rdaa:P50084; eclap:singer,equivalent in SPA Data Model: is singer of,singing,,,Gesang,,chant,,canto,,
466,http://vocab.performing-arts.ch/mujhq,http://vocab.performing-arts.ch/muawx,False,Activity,,,,,pantomime,,,Pantomime,,pantonine,,pantomima,,
